# EMG1, EMG2, EMG3, EMG4, EMG5, EMG6, EMG7, EMG8, FORCE
-5.034331894797909435e+00,2.106591560586316803e+00,-2.042138732722099448e+00,-1.915176096908025150e+00,1.019774792514442474e+00,1.450713034133221946e-01,1.950590694969322136e+00,-2.898722581619066929e+00,4.578005387487414168e+01
-3.031152440790235492e+00,5.827986821576782717e-01,-1.951002087332217361e+00,-1.896148855881301998e+00,9.509389189595426339e-01,1.097476013244609305e+00,1.055576369871124243e+00,-1.238041671616494144e+00,8.341300796736663870e+01
-2.994730937435920559e+00,6.892398439299584068e-01,-1.814627594186010606e+00,-1.647930687443666109e+00,4.979063351238879331e-01,-7.695892904762757780e-02,-5.264654779146633601e-01,-1.879542802879785146e+00,7.602888324916204965e+01
-2.897658730673452254e+00,3.786321580585183533e-01,-1.358755366495260075e+00,-1.675597440152745143e+00,-2.588066018426257164e-01,-9.141039797417125357e-01,-7.700807561683511437e-01,-2.802735470386947370e+00,1.156618990110907816e+02
-1.026678150159077596e+00,-4.956382357157544938e-01,-1.337417240876187963e+00,-1.834465292425051963e+00,-4.579737978308551227e-01,1.298370144083151878e+00,-4.948212827937652492e-01,-1.000562749667925910e+00,1.063932784239212310e+02
3.607366751286646966e-01,-1.752751197549813345e+00,-1.249117975724278296e+00,-1.750797390500307582e+00,-3.750757597737803817e-01,2.269386770309711920e+00,-9.026570590465139432e-01,1.802306178871846409e-01,1.480356869065644787e+02
-9.138410743847469320e-03,-1.350301922879145522e+00,-1.150669285118936402e+00,-1.408856787779912745e+00,-7.206268089927216902e-01,1.080387429185782455e+00,-2.112297150450286765e+00,-7.040477678533223482e-01,1.367919059407836357e+02
-1.832654247420628657e-01,-1.215839230540234794e+00,-4.728637395538339838e-01,-1.540294139481612756e+00,-1.640232375292304923e+00,1.037391847025835645e+00,-7.707454828228348376e-01,-1.869167491506176226e+00,1.804517865198157551e+02
8.590787801655541678e-01,-1.413957676958171428e+00,-2.145499821764274007e-01,-1.724804626229987203e+00,-1.953948182190802907e+00,3.739469830605877121e+00,8.463893661169574756e-01,-7.111485914744957171e-01,1.671512099569316945e+02
1.287784727472659929e+00,-2.303472936926529879e+00,-1.365330681984704420e-01,-1.431867435016003443e+00,-1.599788303337821294e+00,4.090073140742973123e+00,2.680269771200585183e-01,-2.336052850888545862e-01,2.128360960870930398e+02
6.346852222831786960e-01,-1.843686209066882187e+00,-2.623582954634082753e-01,-9.434195149411861436e-01,-1.673221398530375215e+00,2.196705859430517549e+00,-1.517427433623810273e+00,-1.041325806488496930e+00,1.974037033237742378e+02
1.718762622826914832e-01,-1.692229573618095007e+00,2.946979280088493081e-01,-9.211547993773341325e-01,-2.454945192091127382e+00,1.550605810363816062e+00,-3.275071275243508495e-01,-2.063694035460634346e+00,2.451193636964771940e+02
3.506264405690486807e-01,-1.696491616126419189e+00,4.501607921825048209e-01,-8.763161866912798637e-01,-2.571998920844684733e+00,3.096013567049361370e+00,4.868964192494473764e-01,-1.478264641145858205e+00,2.274845508249208024e+02
2.586870569724877278e-01,-2.634812256700032496e+00,2.773039392491067900e-01,-5.567706194868304870e-01,-1.822458910422759537e+00,2.047618133886201619e+00,-1.497308320880762267e+00,-1.573444187954482043e+00,2.772351622687967847e+02
-8.679868026966452987e-02,-2.422802066967051360e+00,-2.765140076378433953e-01,-3.472600688139269032e-01,-1.726037183374211192e+00,-8.732395077101875458e-01,-4.232249433242837533e+00,-1.972879422838484942e+00,2.573306757734212056e+02
-3.971690256041697786e-01,-2.412102882285050764e+00,3.794123145341554704e-03,-4.823362204354784133e-01,-2.493502416228162932e+00,-2.488483003765062040e+00,-3.498568790898493930e+00,-2.646400483057481878e+00,3.091198247804093171e+02
-4.183294324744775139e-01,-2.139246830454286652e+00,5.184584396560354413e-02,-6.215432429399170289e-01,-2.510837338558302267e+00,-1.710414076553428586e+00,-3.314175177913346815e+00,-2.500283328743295286e+00,2.868828055544987592e+02
-2.272043830135317410e-01,-2.886232409817992561e+00,-2.526724791860448516e-01,-9.070540308073686830e-01,-1.655606645612037742e+00,-2.929160294321470737e+00,-5.532633508820532953e+00,-2.862356457283341094e+00,3.407133815827057788e+02
7.773700698279806254e-02,-2.697718176581463290e+00,-1.104936677442645232e+00,-1.422897494405504393e+00,-1.946427705401470254e+00,-5.894920193805097242e+00,-7.797456511522347533e+00,-2.567595144910461702e+00,3.160870841161925568e+02
-2.776044527355936431e-02,-2.554473864960221885e+00,-9.664458827188597834e-01,-1.718321484008843880e+00,-3.113503085434022211e+00,-7.601558724001241885e+00,-6.447545064935154002e+00,-2.728930246287392780e+00,3.719604695387313313e+02
-1.452264454089680079e-01,-1.689232360431999425e+00,-8.547610893202390869e-01,-1.695737178562864322e+00,-3.187689361753756501e+00,-6.269448172979299905e+00,-5.949734180849564069e+00,-2.736501304250214872e+00,3.448958560356510361e+02
7.054444453404473681e-02,-2.133644128938865681e+00,-1.095678168718342116e+00,-2.072390604754261290e+00,-2.505077459648538785e+00,-6.519591051680410310e+00,-7.410379564248680495e+00,-3.007819715196249355e+00,4.028107462615505483e+02
3.092798518051731449e-01,-2.033184889143346830e+00,-2.039279666683209591e+00,-2.810980342296697465e+00,-3.539100266430883934e+00,-8.995961869309581971e+00,-8.490534990510630209e+00,-1.938393938829741314e+00,3.732688182931675556e+02
-3.502102015954333680e-02,-1.695336387703219039e+00,-1.841775025433245006e+00,-2.774967854595397743e+00,-4.956543586665768331e+00,-1.000379758029143851e+01,-6.260369051127018025e+00,-1.705146211189418004e+00,4.332193072650686076e+02
-3.248148084455123596e-01,-1.769884209804305497e-01,-1.491306795240399996e+00,-2.071103385007987185e+00,-4.549676332762112807e+00,-7.185524754712101725e+00,-5.525803279241457311e+00,-1.941251918720703351e+00,4.011734574936954800e+02
-3.967106742621708815e-01,-5.748034321179080752e-01,-1.504736268489495377e+00,-2.175910120478583121e+00,-3.494847407700451214e+00,-6.519250037828936861e+00,-6.736688171063802244e+00,-2.293407775253783143e+00,4.631463936637177881e+02
-6.070864935206183866e-01,-9.171528738362892952e-01,-2.392113429644223910e+00,-3.032651358323230184e+00,-4.474008208374272044e+00,-9.086469428666184456e+00,-7.684542585156284744e+00,-8.409564750340809969e-01,4.285827481124430847e+02
-9.739907289231591880e-01,-5.133819046830879751e-01,-2.039787250883553504e+00,-2.650033167129678624e+00,-5.088218735907049428e+00,-9.162834728515258931e+00,-5.468627013474480769e+00,-5.614715601447093363e-01,4.925549839897137190e+02
-8.893092797611297229e-01,1.494397576369684177e+00,-1.428352249877898661e+00,-1.276134975512233982e+00,-3.606341709907695758e+00,-4.649694339344879523e+00,-4.782578048638345791e+00,-1.201314108732991270e+00,4.554711313417947736e+02
-1.007476160938232113e+00,7.820642158659913967e-01,-1.258790018087278639e+00,-1.217714725042162494e+00,-2.083858821232121628e+00,-3.956640539150421354e+00,-5.967042480459820553e+00,-1.777176817275683884e+00,5.214084568990982689e+02
-1.515176938893053160e+00,-2.814667025406065726e-01,-2.144030781693494703e+00,-2.370398649580834238e+00,-3.081707972198699075e+00,-7.701262813459930356e+00,-7.004737704448816160e+00,-9.619591397341253902e-02,4.818131172836340284e+02
-1.396037563522719571e+00,-2.265921733384335113e-02,-1.692386476470308931e+00,-1.881433478520987190e+00,-3.389610833735254403e+00,-7.325895985638423369e+00,-4.208695462470236848e+00,2.005326184725451100e-01,5.496710621940201236e+02
-4.022335614538472548e-01,2.102938975669261801e+00,-9.749920180846629592e-01,-1.656792573819924064e-01,-1.717431626198121730e+00,-1.601940711771725034e+00,-2.478031764714478946e+00,-7.539304231351660057e-01,5.075856858564102936e+02
-3.989960771842240295e-01,9.081572540123246107e-01,-8.434156693640123548e-01,-1.529409581744187174e-01,-2.531651031523054485e-01,-1.200386264788265933e+00,-3.060410062169687695e+00,-1.552305605514411102e+00,5.773101299788505685e+02
-1.217534572942810200e+00,-6.167392972095671055e-01,-1.856484155648517209e+00,-1.580450970986317927e+00,-1.293268457868791188e+00,-5.464767141928206229e+00,-4.200990827415278517e+00,1.671661410069518183e-01,5.327704270538080209e+02
-7.408068129280747094e-01,-3.741999907035253869e-01,-1.439478717996238499e+00,-1.069859254039732477e+00,-1.192317597166619336e+00,-3.515045020837717971e+00,-1.160022621375393470e+00,3.678027829658714332e-01,6.042982279350990211e+02
7.217752431117143708e-01,1.765570524623877091e+00,-9.003013564504617205e-01,6.889196771300758471e-01,8.087231250480253486e-01,3.880653124057515058e+00,8.525576658042659517e-01,-8.116109369613897506e-01,5.573529228372444777e+02
3.417251458463901326e-01,5.710961047541314173e-01,-1.025230739012830794e+00,6.304401194374179562e-01,2.462044183285788446e+00,4.438796523040042352e+00,2.062854852016271501e-02,-1.872664771975877329e+00,6.306143673954494488e+02
-1.176640052784293289e+00,-5.883148404123185182e-01,-2.149239807238234601e+00,-8.418688102894158476e-01,1.459118290133700313e+00,2.309339872105375946e-01,-2.158523781595564017e+00,-3.623378335005131845e-01,5.813215925064054090e+02
-1.000578878108323799e+00,-2.906850015504814921e-01,-1.760196743314240475e+00,-5.137444716741363937e-01,1.451906123367653123e+00,2.407954680000649716e+00,-2.799194302379421906e-01,-1.533196455099603561e-01,6.562431522908931356e+02
9.047757784629872901e-02,1.587544784597032077e+00,-1.528782783520520550e+00,7.300063578964741673e-01,2.743944410794587618e+00,8.238659441818924734e+00,9.684860126956347237e-01,-9.282644100501613593e-01,6.046672570308599006e+02
-9.469468949945971659e-01,7.761985158805122520e-01,-1.939603842618777385e+00,4.157477892382660523e-01,3.656367607355452964e+00,6.932599662575741561e+00,2.499933538204524019e-01,-1.641265376035145884e+00,6.811719930043076374e+02
-2.863951459749123352e+00,3.809779016467536028e-01,-2.968881473125336790e+00,-9.757650000875661700e-01,2.083052628496270042e+00,2.423068317250770320e+00,-2.183131669416596754e+00,-7.655498820982509223e-02,6.273817195822637132e+02
-2.768034291726114482e+00,5.108034487701822446e-01,-2.320903041800155719e+00,-8.590458434616011774e-01,1.456877613409011563e+00,4.252761943278978052e+00,-1.162425436057777262e+00,3.096637150972396668e-01,7.053887773617990433e+02
-1.783731309863457071e+00,1.851889594184061849e+00,-2.138720548991566162e+00,-1.629492231128726321e-01,1.709673001680971804e+00,8.003004783711350711e+00,6.283735291362546604e-02,1.006646995586275573e-01,6.494566859127830867e+02
-2.570088556861972684e+00,1.300355337547258516e+00,-2.523200871787103505e+00,-4.872937046672279893e-01,1.982750904924007518e+00,5.794836903396067385e+00,1.049873440669994551e+00,-3.506939668517692343e-01,7.288815420082477203e+02
-3.725069293102817980e+00,1.330148016151275092e+00,-3.006356426322180031e+00,-1.416742688670565187e+00,2.858455526322423168e-01,2.877408877381365748e+00,-4.456978599428342847e-01,8.323236837299433644e-01,6.708857008404361295e+02
-3.123243468808513335e+00,9.546491549589057879e-01,-1.599837607763763270e+00,-1.168405965022820459e+00,-3.630916709788261088e-01,5.966350673396490834e+00,6.187591700275163475e-04,7.825087171428490862e-01,7.516395047140320003e+02
-2.063332204050298380e+00,1.599815006431143605e+00,-1.039683286387960592e+00,-7.023311487503141048e-01,-5.058721051576147154e-01,8.792393598490384932e+00,1.343462780984722826e+00,5.203423807514235833e-01,6.916663854533594531e+02
-2.423732976530982519e+00,1.079369641443678640e+00,-1.105354669170671045e+00,-7.853022734470052058e-01,-2.667913972745790119e-01,6.552469809708680870e+00,4.074392694581080221e+00,-1.792019846560348739e-01,7.736545400297426340e+02
-2.999265133375490944e+00,1.342983585758860787e+00,-9.381478606053605951e-01,-1.109463598782157945e+00,-1.479691265490292285e+00,5.483027556298907257e+00,2.986825876286083314e+00,1.787403624360193177e-01,7.117999305124615148e+02
-2.516587961611329138e+00,6.707895587187533426e-01,1.124748421724191871e+00,-6.108982601077108665e-01,-1.500708740331836877e+00,9.496051987806563233e+00,2.469814907912901703e+00,-7.649085266298247809e-01,7.949221048955535025e+02
