Fz,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
4,-5,23,15,8,-4,38,-26,-1
02007,-5,23,15,8,-4,38,-26,-1
01881,-5,23,15,8,-4,38,-26,-1
01785,4,-5,-6,-1,12,-12,0,-1
01623,4,-5,-6,-1,12,-12,0,-1
01491,4,-5,-6,-1,12,-12,0,-1
02108,4,-5,-6,-1,12,-12,0,-1
01878,4,-5,-6,-1,12,-12,0,-1
01783,4,-5,-6,-1,12,-12,0,-1
01574,-6,-9,-11,-2,5,-11,-10,2
01495,-6,-9,-11,-2,5,-11,-10,2
02108,-6,-9,-11,-2,5,-11,-10,2
01885,-6,-9,-11,-2,5,-11,-10,2
01785,-6,-9,-11,-2,5,-11,-10,2
01632,-6,-9,-11,-2,5,-11,-10,2
01498,-6,-9,-11,-2,5,-11,-10,2
02104,-4,-16,-3,-7,0,-48,-88,-7
01880,0,-8,3,7,-5,49,28,-1
01639,0,-8,3,7,-5,49,28,-1
01393,0,-8,3,7,-5,49,28,-1
01923,0,-8,3,7,-5,49,28,-1
02056,0,-8,3,7,-5,49,28,-1
01817,0,-8,3,7,-5,49,28,-1
01778,-3,18,0,-10,-11,20,42,8
014100,-3,18,0,-10,-11,20,42,8
16030,-3,18,0,-10,-11,20,42,8
21540,-11,-14,-9,-10,-6,-46,-72,-10
186701783,-11,-14,-9,-10,-6,-46,-72,-10
01586,-11,-14,-9,-10,-6,-46,-72,-10
01482,-3,-5,-2,1,-5,-4,-50,-14
02044,-3,-5,-2,1,-5,-4,-50,-14
01919,-3,-5,-2,1,-5,-4,-50,-14
01785,-3,13,8,-5,-1,5,9,4
01583,-6,-10,-14,-1,8,48,71,9
01472,-6,-10,-14,-1,8,48,71,9
02048,-6,-10,-14,-1,8,48,71,9
01874,-6,-10,-14,-1,8,48,71,9
01778,-6,-10,-14,-1,8,48,71,9
01625,-4,-12,-8,-9,-1,-36,46,-8
01416,-4,-12,-8,-9,-1,-36,46,-8
02035,-4,-12,-8,-9,-1,-36,46,-8
01881,-1,-2,-5,9,6,14,17,8
01651,-1,-2,-5,9,6,14,17,8
01389,-1,-2,-5,9,6,14,17,8
01929,-6,-22,-12,-8,8,10,-7,-5
02075,-6,-22,-12,-8,8,10,-7,-5
01838,7,11,6,-5,5,1,-30,-1
01803,7,11,6,-5,5,1,-30,-1
014480,7,11,6,-5,5,1,-30,-1
16230,7,11,6,-5,5,1,-30,-1
21970,7,11,6,-5,5,1,-30,-1
1898018,7,11,6,-5,5,1,-30,-1
2401693,5,8,11,10,21,63,36,5
01461,5,8,11,10,21,63,36,5
02079,5,8,11,10,21,63,36,5
01963,-5,6,2,1,5,1,-8,-1
01825,-5,6,2,1,5,1,-8,-1
01692,-5,6,2,1,5,1,-8,-1
01461,-5,6,2,1,5,1,-8,-1
02080,4,16,3,9,0,-10,-28,3
01973,4,16,3,9,0,-10,-28,3
01838,-2,1,-2,5,1,-36,72,0
01746,-5,-7,-3,-9,-1,-20,24,2
01422,-5,-7,-3,-9,-1,-20,24,2
02018,-5,-7,-3,-9,-1,-20,24,2
02023,-5,-7,-3,-9,-1,-20,24,2
01858,-1,-7,-7,-11,10,16,34,5
01409,-1,-7,-7,-11,10,16,34,5
01888,0,5,-1,-3,-16,-58,-72,-13
02172,-3,-5,3,-5,-11,-27,43,7
01888,-3,-5,3,-5,-11,-27,43,7
01842,-3,-5,3,-5,-11,-27,43,7
01541,-7,-3,-2,-9,-12,43,-28,-4
01577,-7,-3,-2,-9,-12,43,-28,-4
02178,-7,-3,-2,-9,-12,43,-28,-4
01943,0,-1,-1,4,-4,-32,1,-4
018330,-4,-13,-5,-3,2,13,17,-3
1742014,-4,-13,-5,-3,2,13,17,-3
110191,-4,-13,-5,-3,2,13,17,-3
702095,-4,-13,-5,-3,2,13,17,-3
01839,-4,-13,-5,-3,2,13,17,-3
01795,3,2,9,8,3,-21,-16,5
01367,3,2,9,8,3,-21,-16,5
01765,3,2,9,8,3,-21,-16,5
02130,3,2,9,8,3,-21,-16,5
01829,3,2,9,8,3,-21,-16,5
01777,3,2,9,8,3,-21,-16,5
01357,3,2,9,8,3,-21,-16,5
01747,3,4,2,9,6,2,23,5
02113,3,4,2,9,6,2,23,5
01813,2,-6,-5,2,10,37,25,5
01765,-5,-1,7,13,-1,-41,43,-7
01615,-5,-1,7,13,-1,-41,43,-7
02071,-5,-1,7,13,-1,-41,43,-7
01803,-5,-1,7,13,-1,-41,43,-7
01749,-10,-9,-12,-3,-7,13,-32,-11
01336,0,-6,-1,-2,-6,-28,-21,-6
